mag,place,time,updated,tz,url,detail,felt,cdi,mmi,alert,status,tsunami,sig,net,code,ids,sources,types,nst,dmin,rms,gap,magType,type,title
2.5,"52 km W of Happy Valley, Alaska",1669842331657,1669852274040,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcq15n0,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcq15n0&format=geojson,,,,,automatic,0,96,ak,022fcq15n0,",us6000j5v7,ak022fcq15n0,",",us,ak,",",origin,phase-data,",,,0.38,,ml,earthquake,"M 2.5 - 52 km W of Happy Valley, Alaska"
0.94,"9km WNW of Cobb, CA",1669842148930,1669844291031,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813226,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813226&format=geojson,,,,,automatic,0,14,nc,73813226,",nc73813226,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",18.0,0.008887,0.03,94.0,md,earthquake,"M 0.9 - 9km WNW of Cobb, CA"
1.82000005,"10 km E of P?hala, Hawaii",1669842082180,1669842620282,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247722,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247722&format=geojson,2.0,2.7,,,automatic,0,52,hv,73247722,",hv73247722,",",hv,",",dyfi,origin,phase-data,",30.0,,0.109999999,162.0,md,earthquake,"M 1.8 - 10 km E of P?hala, Hawaii"
1.03,"6km ENE of Rancho San Diego, CA",1669842023930,1669847371048,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382832,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382832&format=geojson,,,,,reviewed,0,16,ci,40382832,",ci40382832,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",15.0,0.06552,0.25,53.0,ml,quarry blast,"M 1.0 Quarry Blast - 6km ENE of Rancho San Diego, CA"
0.96,"2km N of Cabazon, CA",1669841844070,1669847188006,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382824,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382824&format=geojson,,,,,reviewed,0,14,ci,40382824,",ci40382824,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",26.0,0.09819,0.11,105.0,ml,earthquake,"M 1.0 - 2km N of Cabazon, CA"
0.8200000000000001,"37 km NE of Amboy, Washington",1669841411390,1669847333000,,https://earthquake.usgs.gov/earthquakes/eventpage/uw61896781,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=uw61896781&format=geojson,,,,,reviewed,0,10,uw,61896781,",uw61896781,",",uw,",",origin,phase-data,",10.0,0.0148,0.07,221.0,ml,earthquake,"M 0.8 - 37 km NE of Amboy, Washington"
2.05,"13km ESE of Millville, CA",1669840174080,1669917912344,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813211,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813211&format=geojson,,,,,reviewed,0,65,nc,73813211,",nc73813211,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",16.0,0.07371,0.13,45.0,md,earthquake,"M 2.1 - 13km ESE of Millville, CA"
-0.14,Southern Alaska,1669840101630,1669869981940,,https://earthquake.usgs.gov/earthquakes/eventpage/av91724301,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91724301&format=geojson,,,,,reviewed,0,0,av,91724301,",av91724301,",",av,",",origin,phase-data,",7.0,,0.16,121.0,ml,earthquake,M -0.1 - Southern Alaska
0.6,"82 km W of Salamatof, Alaska",1669840051112,1669869582280,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcpkdtr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcpkdtr&format=geojson,,,,,reviewed,0,6,ak,022fcpkdtr,",av91724296,ak022fcpkdtr,",",av,ak,",",origin,phase-data,",,,0.66,,ml,earthquake,"M 0.6 - 82 km W of Salamatof, Alaska"
-0.63,"85 km NNW of Karluk, Alaska",1669839803690,1669870951970,,https://earthquake.usgs.gov/earthquakes/eventpage/av91078153,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91078153&format=geojson,,,,,reviewed,0,0,av,91078153,",av91078153,",",av,",",origin,phase-data,",5.0,,0.11,105.0,ml,earthquake,"M -0.6 - 85 km NNW of Karluk, Alaska"
1.4,"20 km NW of Ninilchik, Alaska",1669839277639,1669839655969,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcphnyr,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcphnyr&format=geojson,,,,,automatic,0,30,ak,022fcphnyr,",ak022fcphnyr,",",ak,",",origin,phase-data,",,,0.33,,ml,earthquake,"M 1.4 - 20 km NW of Ninilchik, Alaska"
1.68,"6km E of Mammoth Lakes, CA",1669839252300,1669855636133,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813206,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813206&format=geojson,,,,,reviewed,0,43,nc,73813206,",nc73813206,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",12.0,0.01085,0.1,63.0,md,earthquake,"M 1.7 - 6km E of Mammoth Lakes, CA"
1.18,"15km NE of Ridgecrest, CA",1669839107940,1669846929560,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382808,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382808&format=geojson,,,,,reviewed,0,21,ci,40382808,",ci40382808,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",28.0,0.111,0.1,89.0,ml,earthquake,"M 1.2 - 15km NE of Ridgecrest, CA"
2.16,"14km NE of Ridgecrest, CA",1669838788300,1669846748100,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382800,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382800&format=geojson,,,,,reviewed,0,72,ci,40382800,",ci40382800,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",42.0,0.09865,0.12,58.0,ml,earthquake,"M 2.2 - 14km NE of Ridgecrest, CA"
1.17,"14km NE of Ridgecrest, CA",1669838649960,1669846383420,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382792,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382792&format=geojson,,,,,reviewed,0,21,ci,40382792,",ci40382792,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",21.0,0.1033,0.11,86.0,ml,earthquake,"M 1.2 - 14km NE of Ridgecrest, CA"
-0.07,"83 km NW of Karluk, Alaska",1669838473800,1669872957010,,https://earthquake.usgs.gov/earthquakes/eventpage/av91724281,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91724281&format=geojson,,,,,reviewed,0,0,av,91724281,",av91724281,",",av,",",origin,phase-data,",9.0,,0.07,94.0,ml,earthquake,"M -0.1 - 83 km NW of Karluk, Alaska"
1.78,"14km NE of Ridgecrest, CA",1669838165510,1669841600170,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382784,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382784&format=geojson,,,,,reviewed,0,49,ci,40382784,",ci40382784,",",ci,",",focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",26.0,0.103,0.16,87.0,ml,earthquake,"M 1.8 - 14km NE of Ridgecrest, CA"
1.5,"14 km NNE of Willow, Alaska",1669837575843,1669837756934,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcp31lc,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcp31lc&format=geojson,,,,,automatic,0,35,ak,022fcp31lc,",ak022fcp31lc,",",ak,",",origin,phase-data,",,,0.4,,ml,earthquake,"M 1.5 - 14 km NNE of Willow, Alaska"
2.39,Puerto Rico region,1669836840430,1669838705160,,https://earthquake.usgs.gov/earthquakes/eventpage/pr71384768,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr71384768&format=geojson,,,,,reviewed,0,88,pr,71384768,",pr71384768,",",pr,",",origin,phase-data,",16.0,0.1181,0.11,250.0,md,earthquake,M 2.4 - Puerto Rico region
0.2,"10km WNW of The Geysers, CA",1669836629910,1669854851046,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813186,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813186&format=geojson,,,,,reviewed,0,1,nc,73813186,",nc73813186,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.002972,0.03,60.0,md,earthquake,"M 0.2 - 10km WNW of The Geysers, CA"
0.69,"9km SSW of Idyllwild, CA",1669836045680,1669837220766,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382776,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382776&format=geojson,,,,,reviewed,0,7,ci,40382776,",ci40382776,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",23.0,0.05931,0.1,71.0,ml,earthquake,"M 0.7 - 9km SSW of Idyllwild, CA"
0.27,"9km SSW of Idyllwild, CA",1669836030730,1669837796080,,https://earthquake.usgs.gov/earthquakes/eventpage/ci37471804,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci37471804&format=geojson,,,,,reviewed,0,1,ci,37471804,",ci37471804,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",13.0,0.05752,0.1,129.0,ml,earthquake,"M 0.3 - 9km SSW of Idyllwild, CA"
1.4,"48 km WSW of Ferry, Alaska",1669835631107,1669835817278,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcow1om,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcow1om&format=geojson,,,,,automatic,0,30,ak,022fcow1om,",ak022fcow1om,",",ak,",",origin,phase-data,",,,0.29,,ml,earthquake,"M 1.4 - 48 km WSW of Ferry, Alaska"
1.15,"27 km E of Honaunau-Napoopoo, Hawaii",1669834589330,1669848984630,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247517,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247517&format=geojson,,,,,reviewed,0,20,hv,73247517,",hv73247517,",",hv,",",origin,phase-data,",8.0,,0.13,95.0,md,earthquake,"M 1.2 - 27 km E of Honaunau-Napoopoo, Hawaii"
-0.2,"36 km ESE of Port Heiden, Alaska",1669834287700,1669867088350,,https://earthquake.usgs.gov/earthquakes/eventpage/av91078148,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=av91078148&format=geojson,,,,,reviewed,0,0,av,91078148,",av91078148,",",av,",",origin,phase-data,",5.0,,0.21,271.0,ml,earthquake,"M -0.2 - 36 km ESE of Port Heiden, Alaska"
2.1099999,"9 km ESE of P?hala, Hawaii",1669833981420,1669839050925,,https://earthquake.usgs.gov/earthquakes/eventpage/hv73247502,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=hv73247502&format=geojson,1.0,2.7,,,automatic,0,69,hv,73247502,",hv73247502,",",hv,",",dyfi,origin,phase-data,",36.0,,0.119999997,178.0,md,earthquake,"M 2.1 - 9 km ESE of P?hala, Hawaii"
0.3,"85 km NNW of Karluk, Alaska",1669833749507,1669868837420,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fcogslp,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fcogslp&format=geojson,,,,,automatic,0,1,ak,022fcogslp,",av91724266,ak022fcogslp,",",av,ak,",",origin,phase-data,",,,0.77,,ml,earthquake,"M 0.3 - 85 km NNW of Karluk, Alaska"
0.94,"7km SE of Julian, CA",1669832938120,1669836580681,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382752,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382752&format=geojson,,,,,reviewed,0,14,ci,40382752,",ci40382752,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",33.0,0.06249,0.18,72.0,ml,earthquake,"M 0.9 - 7km SE of Julian, CA"
0.84,"7km NW of The Geysers, CA",1669832853240,1669835534126,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813176,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813176&format=geojson,,,,,automatic,0,11,nc,73813176,",nc73813176,",",nc,",",nearby-cities,origin,phase-data,scitech-link,",11.0,0.0027,0.01,76.0,md,earthquake,"M 0.8 - 7km NW of The Geysers, CA"
4.6,"near the east coast of Honshu, Japan",1669831831030,1669834597040,,https://earthquake.usgs.gov/earthquakes/eventpage/us6000j5ui,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=us6000j5ui&format=geojson,,,,,reviewed,0,326,us,6000j5ui,",us6000j5ui,",",us,",",origin,phase-data,",16.0,0.975,0.76,182.0,mb,earthquake,"M 4.6 - near the east coast of Honshu, Japan"
0.71,"21km ESE of Little Lake, CA",1669831444810,1669842883400,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382736,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382736&format=geojson,,,,,reviewed,0,8,ci,40382736,",ci40382736,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",14.0,0.09687,0.11,130.0,ml,earthquake,"M 0.7 - 21km ESE of Little Lake, CA"
0.2,"63 km WNW of Tyonek, Alaska",1669831394255,1669868606250,,https://earthquake.usgs.gov/earthquakes/eventpage/ak022fco8e7a,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ak022fco8e7a&format=geojson,,,,,automatic,0,1,ak,022fco8e7a,",av91724261,ak022fco8e7a,",",av,ak,",",origin,phase-data,",,,0.47,,ml,earthquake,"M 0.2 - 63 km WNW of Tyonek, Alaska"
1.29,"10km E of Oildale, CA",1669831156050,1669836476668,,https://earthquake.usgs.gov/earthquakes/eventpage/ci40382728,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=ci40382728&format=geojson,,,,,reviewed,0,26,ci,40382728,",ci40382728,",",ci,",",nearby-cities,origin,phase-data,scitech-link,",20.0,0.07014,0.12,138.0,ml,earthquake,"M 1.3 - 10km E of Oildale, CA"
1.83,"6km NE of Pinnacles, CA",1669831149570,1669869264595,,https://earthquake.usgs.gov/earthquakes/eventpage/nc73813156,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=nc73813156&format=geojson,1.0,2.0,,,reviewed,0,52,nc,73813156,",nc73813156,",",nc,",",dyfi,focal-mechanism,nearby-cities,origin,phase-data,scitech-link,",31.0,0.05069,0.09,111.0,md,earthquake,"M 1.8 - 6km NE of Pinnacles, CA"
2.79,"6 km WNW of Santo Domingo, Puerto Rico",1669831136140,1669833552309,,https://earthquake.usgs.gov/earthquakes/eventpage/pr2022334001,https://earthquake.usgs.gov/fdsnws/event/1/query?eventid=pr2022334001&format=geojson,,,,,reviewed,0,120,pr,2022334001,",pr2022334001,",",pr,",",origin,phase-data,",16.0,0.1326,0.16,58.0,md,earthquake,"M 2.8 - 6 km WNW of Santo Domingo, Puerto Rico"
